Какой у вас телефон? (Айфон - 1, Андроид - 2);Пол (М - 1, Ж - 2);Количество братьев/сестёр (укажите цифру);ОС на ПК (MacOS - 1, Windows - 2, Linux - 3);Среднее кол-во поездок на такси в месяц (укажите цифру);Играете в мобильные игры? (Да -1, Нет - 2);Область проживания ( в пределах садового - 1, ттк - 2, мцк - 3, мкад - 4, цкад - 5, московское большое кольцо - 6, дальше - 7;Важно ли качество камеры? (Да - 1, Нет - 2);Из какого ФО вы приехали ( цифры в порядке расположения списка на картинке);Чаще вы оплачиваете покупки... (картой - 1, стикером - 2, NFC - 3, наличными - 4, QR - 5) ;Как часто меняете телефон? (укажите среднее количество лет);Ваше положение (безработный - 1, частная компания - 2, госкомпания - 3) ;Пользуешься ли технологией умного дома? (Да - 1, Нет - 2);Сфера работы IT? (Да - 1, Нет - 2) ;Какие часы? (Нет часов - 1, Механические - 2, Электронные - 3);Какой максимальный бюджет готов потратить? (Введи число без пробелов);Сколько раз в день заряжаешь телефон? (Введи цифру);Каким браузером чаще пользуешься? (Google - 1, Яндекс - 2, Safari - 3, Opera - 4, Edge - 5, Firefox - 6);Любите ли вы новые технологии? ( по шкале от 1 до 5, где 1 - вообще не люблю, 3 - спокойно отношусь, а 5 - обожаю);Важна ли для вас возможность настройки интерфейса под себя? (Да - 1, Нет - 2);Важно ли для вас качество материалов/материал корпуса? (Да -1, Нет - 2)
1;1;1;1;20;1;5;1;1;1;3;2;2;2;2;120000;2;2;4;2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;2;0;2;15;2;4;1;6;1;3;2;2;1;3;120000;1;3;3;2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;2;1;1;2;4;1;1;1;7;3;1;1;3;100000;2;2;5;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;0;1;0;2;7;1;1;1;3;2;1;1;3;30000;1;1;5;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;0;1;0;2;4;1;1;1;4;3;2;1;3;90000;1;1;4;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;2;1;2;2;1;5;1;1;3;3;3;2;1;3;80000;1;2;4;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;1;2;3;2;4;2;1;1;5;3;2;1;3;80000;2;3;4;2;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;0;2;3;2;2;1;1;1;4;3;2;1;2;150000;1;2;3;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;1;2;0;2;4;1;1;1;4;1;2;1;2;40000;1;4;4;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;1;2;3;1;6;1;1;1;4;1;2;1;1;30000;1;1;4;1;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;5;2;0;1;7;1;1;1;4;3;2;1;1;80000;4;1;3;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;1;3;2;2;4;2;1;1;3;1;2;1;1;25000;1;6;5;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;3;2;3;1;4;2;1;1;4;2;2;1;2;100000;2;2;4;2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;2;0;3;1;1;7;1;1;1;4;2;2;1;2;15000;1;2;3;2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;1;2;0;1;5;2;1;1;4;1;2;1;3;50000;1;1;4;2;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;3;2;0;1;4;1;1;5;5;2;2;1;3;30000;3;2;4;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;3;2;0;1;4;2;1;5;5;1;2;1;3;30000;3;3;4;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;1;3;20;1;4;1;3;3;4;2;2;1;1;100000;2;1;3;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;2;2;10;2;4;2;1;5;3;1;2;1;1;80000;2;1;3;2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;1;2;3;1;7;2;1;3;3;2;2;1;1;20000;6;4;4;2;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;1;2;1;1;4;1;1;1;4;2;2;1;3;140000;2;1;4;2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;2;2;2;1;5;2;5;1;4;2;2;2;1;30000;1;6;3;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;0;2;5;2;4;1;1;1;2;1;2;2;3;70000;2;1;4;2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;2;1;2;20;2;7;1;3;1;3;3;2;2;2;30000;2;1;3;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;3;2;0;2;4;1;1;3;2;3;2;1;3;100000;1;1;3;2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;1;2;0;1;7;1;5;1;5;1;2;1;1;40000;1;4;3;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;1;2;1;1;3;1;1;1;3;2;1;1;3;200000;1;1;4;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;1;2;0;1;7;2;1;1;7;1;2;1;1;60000;1;2;5;1;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;1;1;70;1;5;1;1;1;5;3;2;1;2;100000;2;6;5;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;1;2;0;2;4;1;1;3;3;2;1;1;3;10000;1;1;5;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;0;2;5;2;4;2;1;3;6;1;2;2;1;50000;1;1;3;2;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2;1;1;2;2;1;4;1;3;1;4;1;2;1;2;70000;3;2;4;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;2;0;2;3;2;5;1;1;1;4;3;1;2;1;100000;2;2;4;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
